image_name,sku,count
6e836287-20f6-4461-9413-3dac80f06872.jpg,PET Floor Stacking,2
89911303-e4db-479f-a247-1f722f1bc287.jpg,Poster,1
b32c89cb-2473-4541-ac49-9069772ece46.jpg,PET Floor Stacking,5
b64bbfb2-44e4-436a-88bc-815fb88f3e15.jpg,RGB Crate Stacking,10
b64bbfb2-44e4-436a-88bc-815fb88f3e15.jpg,PET Floor Stacking,1
c84edd63-720d-48c3-9eb5-15ee472ecffe.jpg,Poster,1
e1c5b099-aca1-402d-af00-b4c3eb33bba4.jpg,Poster,2
e1c5b099-aca1-402d-af00-b4c3eb33bba4.jpg,Menu Board,1
IMG-MOPOCYZ1-I5KZ.jpg,Box Display,1
IMG-MOPOGJKB-T622.jpg,3 Tier Rack,1
IMG-MOPOGJKB-T622.jpg,PET Floor Stacking,1
IMG-MOPOGJKB-T622.jpg,Poster,1
IMG-MOPOGJKB-T622.jpg,Shelf Display,1
IMG-MOPP6GAU-2058.jpg,Wall Branding,1
IMG-MOPP6GAU-2058.jpg,Combo Board,1
IMG-MOPP6GAU-2058.jpg,Ceiling Pillar Branding,1
IMG-MOPP908O-FG8S.jpg,Shopper Gate,1
IMG-MOPP908O-FG8S.jpg,Shelf Display,1
IMG-MOPP9RNV-QFIP.jpg,DPS,1
IMG-MOPP9RNV-QFIP.jpg,Steamer,1
IMG-MOPP9RNV-QFIP.jpg,Others,2
IMG-MOPPABMH-YB9U.jpg,DPS,1
IMG-MOPPB0OL-GZAC.jpg,DPS,1
IMG-MOPPBIF0-I8PZ.jpg,RGB Crate Stacking,2
IMG-MOPQ0NZC-XR3A.jpg,DPS,1
IMG-MOPQ0NZC-XR3A.jpg,PET Floor Stacking,2
IMG-MOPQ0NZC-XR3A.jpg,Others,1
IMG-MOPQ0NZC-XR3A.jpg,Box Display,1
IMG-MOPQ0PHL-IWR8.jpg,RGB Crate Stacking,1
IMG-MOPQ0PHL-IWR8.jpg,Poster,1
IMG-MOPQ0PHL-IWR8.jpg,Others,1
IMG-MOPQ0QA4-L9C6.jpg,Box Display,1
IMG-MOPQBCQM-LL8Z.jpg,Menu Board,1
IMG-MOPQH838-MTYP.jpg,Others,1
IMG-MOPQI1QY-LYC9.jpg,DPS,2
IMG-MOPQI1QY-LYC9.jpg,Others,1
IMG-MOPQI2RV-F7SD.jpg,Shopper Gate,1
IMG-MOPQI2RV-F7SD.jpg,DPS,1
IMG-MOPQI2RV-F7SD.jpg,Pillar branding,1
IMG-MOPRYPTD-MV09.jpg,Poster,1
IMG-MOPRYPTD-MV09.jpg,Pillar branding,1
IMG-MOPSU98R-1AJQ.jpg,PET Floor Stacking,1
IMG-MOPTI3DQ-I9G8 (1).jpg,DPS,1
